ArticleTitle,Question,Answer
Alessandro_Volta,Is Volta buried in the city of Pittsburgh?,no
Alessandro_Volta,Did Volta have a passion for the study of electricity?,yes
Alessandro_Volta,Did Volta have a passion for the study of electricity?,yes
Alessandro_Volta,What is the battery made by Volta credited to be?,the first cell
Alessandro_Volta,What is the battery made by Volta credited to be?,the first cell
Alessandro_Volta,What important electrical unit was named in honor of Volta?,the volt
Alessandro_Volta,What important electrical unit was named in honor of Volta?,volt
Alessandro_Volta,Where did Volta enter retirement?,Spain
Alessandro_Volta,Where did Volta enter retirement?,Spain
Alessandro_Volta,Is it a disadvantage for something to be unsafe to handle?,yes
Alessandro_Volta,Is it a disadvantage for something to be unsafe to handle?,yes
Alessandro_Volta,Was Lombardy under Napoleon's rule in 1800?,yes
Alessandro_Volta,Was Lombardy under Napoleon's rule in 1800?,yes
Alessandro_Volta,Was the Italian 10.000 lira banknote created before the euro?,yes
Alessandro_Volta,Was the Italian 10.000 lira banknote created before the euro?,yes
Alessandro_Volta,For how many years did Alessandro Volta live?,53
Alessandro_Volta,Did Alessandro Volta live to be 80 years old?,no
Alessandro_Volta,What was Alessandro Volta`s profession?,physisist
Alessandro_Volta,How old was Alessandro Volta when he died?,82
Alessandro_Volta,"How many years ago was it when Volta married the daughter of Count Ludovico Peregrini , Teresa , with whom he raised three sons?",215
Alessandro_Volta,Is the electrolyte sulphuric acid?,Yes
Alessandro_Volta,Is volta buried in the city  of Como?,Yes
Alessandro_Volta,Was his 1800  paper written in French?,Yes
Alessandro_Volta,"Before 1796, was Lombardy ruled by Austria?",yes
Alessandro_Volta,Did he receive the Society`s 1794 Copley Medal?,Yes
Alessandro_Volta,Did he experiment with individual cells?,Yes
Alessandro_Volta,When did lombardy come under Napoleon`s rule?,From 1796 to 1815
Alessandro_Volta,Where did he publish his invention of the Voltaic pile battery?,the Philosophical Transactions of the Royal Society
Alessandro_Volta,Did he become professor of experimental physics at the University of Pavia?,Yes
Alessandro_Volta,Is it true that his passion been always the study of electricity?,Yes
Alessandro_Volta,His passion been always the study of what?,Electricity
Alessandro_Volta,Is it true that Volta married the daughter of Count Ludovico Peregrini?,Yes
Alessandro_Volta,Is it true that he published his invention of the Voltaic pile battery?,Yes
Alessandro_Volta,Was Alessandro Volta a professor of chemistry?,Alessandro Volta was not a professor of chemistry.
Alessandro_Volta,Was Alessandro Volta a professor of chemistry?,No
Alessandro_Volta,Did Alessandro Volta invent the remotely operated pistol?,Alessandro Volta did invent the remotely operated pistol.
Alessandro_Volta,Did Alessandro Volta invent the remotely operated pistol?,Yes
Alessandro_Volta,Was Alessandro Volta taught in public schools?,Volta was taught in public schools.
Alessandro_Volta,Was Alessandro Volta taught in public schools?,Yes
Alessandro_Volta,Who did Alessandro Volta marry?,Alessandro Volta married Teresa Peregrini.
Alessandro_Volta,Who did Alessandro Volta marry?,Teresa Peregrini
Alessandro_Volta,What did Alessandro Volta invent in 1800?,"In 1800, Alessandro Volta invented the voltaic pile."
Alessandro_Volta,What did Alessandro Volta invent in 1800?,voltaic pile
Alessandro_Volta,What is the battery made by Alessandro Volta credited as?,The battery made by Volta is credited as the first electrochemical cell.
Alessandro_Volta,What is the battery made by Alessandro Volta credited as?,the first electrochemical cell
Alessandro_Volta,Did Alessandro Volta die and retire in the same place?,Alessandro Volta retired and died in the same place.
Alessandro_Volta,Did Alessandro Volta die and retire in the same place?,Yes
Alessandro_Volta,When did Alessandro Volta improve  and popularize the electrophorus?,Alessandro Volta improved and popularized the electrophorus in 1775.
Alessandro_Volta,When did Alessandro Volta improve  and popularize the electrophorus?,1775
Alessandro_Volta,How long was Alessandro Volta a professor at the University of Pavia?,Alessandro Volta was a professor at the University of Pavia for almost 25 years.
Alessandro_Volta,How long was Alessandro Volta a professor at the University of Pavia?,almost 25 years
Alessandro_Volta,Was Alessandro Volta an Egyptian?,no
Alessandro_Volta,Was Alessandro Volta an Egyptian?,No.
Alessandro_Volta,Was Volta taught in public schools?,yes
Alessandro_Volta,Was Volta taught in public schools?,Yes.
Alessandro_Volta,Was Volta made a count in 1810?,yes
Alessandro_Volta,Was Volta made a count in 1810?,No.
Alessandro_Volta,Who made Volta a count?,Napoleon
Alessandro_Volta,Who made Volta a count?,Napoleon
Alessandro_Volta,Where was Volta born?,Como
Alessandro_Volta,Where was Volta born?,"Como, Italy"
Alessandro_Volta,When did Volta retire?,1819
Alessandro_Volta,When did Volta retire?,In 1819.
Alessandro_Volta,"A year before improving and popularizing the electrophorus, what did Volta become?",A professor of physics at the Royal School in Como
Alessandro_Volta,Was Volta buried where he died or was he buried someplace else?,where he died
Alessandro_Volta,Was Volta buried where he died or was he buried someplace else?,Yes.
Alessandro_Volta,Did Volta marry before he became professor of experimental physics at the University of Pavia?,no
Alessandro_Volta,Did Volta marry before he became professor of experimental physics at the University of Pavia?,No.
Alessandro_Volta,What happened in 1810?,Volta was made a count by Napoleon.
Alessandro_Volta,Wasn't Alessandro Volta born in Como?,"Yes, Volta was born in Como, Italy and was taught in the public schools there."
Alessandro_Volta,Was Alessandro Volta born in Como?,yes
Alessandro_Volta,Who became a professor of physics at the Royal School in Como?,Volta.
Alessandro_Volta,When was Volta made a count by Napoleon?,Volta was made a count by Napoleon in 1810.
Alessandro_Volta,Is Voltas legacy celebrated by a Temple on the shore of Lake Como in the center of the town?,Yes
Alessandro_Volta,Is the battery made by Volta credited as the first electrochemical cell?,Yes
Alessandro_Volta,Was Volta made a count by Napoleon in 1810?,"Yes, Volta was made a count by Napoleon in 1810."
Alessandro_Volta,In what year did he become a professor of physics at the Royal School in Como?,1774
Amedeo_Avogadro,What was an Italian savant?,NULL
Amedeo_Avogadro,What was an Italian savant?,NULL
Amedeo_Avogadro,Who is most noted for his contributions to the theory of molarity and molecular weight?,Amedeo Avogadro
Amedeo_Avogadro,Who is most noted for his contributions to the theory of molarity and molecular weight?,NULL
Amedeo_Avogadro,Who is most noted for his contributions to the theory of molarity and molecular weight?,NULL
Amedeo_Avogadro,Who graduated in ecclesiastical law at the early age of 20 and began to practice?,Amedeo Avogadro
Amedeo_Avogadro,Who graduated in ecclesiastical law at the early age of 20 and began to practice?,blah
Amedeo_Avogadro,Who graduated in ecclesiastical law at the early age of 20 and began to practice?,NULL
Amedeo_Avogadro,When did he publish another memoria?,1821
Amedeo_Avogadro,When did he publish another memoria?,NULL
Amedeo_Avogadro,When did he publish another memoria?,NULL
Amedeo_Avogadro,When did he become a professor?,1820
Amedeo_Avogadro,When did he become a professor?,NULL
Amedeo_Avogadro,When did he become a professor?,NULL
Amedeo_Avogadro,Is it true that he became a professor in 1820?,yes
Amedeo_Avogadro,Is it true that he became a professor in 1820?,NULL
Amedeo_Avogadro,Is it true that he became a professor in 1820?,NULL
Amedeo_Avogadro,Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,yes
Amedeo_Avogadro,Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,NULL
Amedeo_Avogadro,Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,NULL
Amedeo_Avogadro,"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",yes
Amedeo_Avogadro,"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",NULL
Amedeo_Avogadro,"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",NULL
Amedeo_Avogadro,Is he most noted for his contributions to the theory of molarity and molecular weight?,yes
Amedeo_Avogadro,Is he most noted for his contributions to the theory of molarity and molecular weight?,NULL
Amedeo_Avogadro,Is he most noted for his contributions to the theory of molarity and molecular weight?,NULL
Amedeo_Avogadro,,NULL
Amedeo_Avogadro,,NULL
Amedeo_Avogadro,,NULL
Amedeo_Avogadro,,NULL
Amedeo_Avogadro,,NULL
Amedeo_Avogadro,,NULL
Amedeo_Avogadro,"Who confirm that he sponsored and helped some Sardinian plotters who were organising a revolution in that island , stopped at the very last moment by the concession of Charles Albert 's statute ?",NULL
Amedeo_Avogadro,"Who confirm that he sponsored and helped some Sardinian plotters who were organising a revolution in that island , stopped at the very last moment by the concession of Charles Albert 's statute ?",NULL
Amedeo_Avogadro,He is what?,NULL
Amedeo_Avogadro,He is what?,NULL
Amedeo_Avogadro,The unification of Italy did what?,NULL
Amedeo_Avogadro,Was King Victor Emmanuel III there to pay homage to Avogadro ?,yes
Amedeo_Avogadro,Was King Victor Emmanuel III there to pay homage to Avogadro ?,NULL
Amedeo_Avogadro,Was King Victor Emmanuel III there to pay homage to Avogadro ?,NULL
Amedeo_Avogadro,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,yes
Amedeo_Avogadro,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,NULL
Amedeo_Avogadro,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,NULL
Amedeo_Avogadro,Is it approximately 6.0221415 10 23 ?,NULL
Amedeo_Avogadro,Is it approximately 6.0221415 10 23 ?,NULL
Amedeo_Avogadro,Did the scientific community not reserve great attention to his theory ?,yes
Amedeo_Avogadro,Did the scientific community not reserve great attention to his theory ?,NULL
Amedeo_Avogadro,Did the scientific community not reserve great attention to his theory ?,NULL
Amedeo_Avogadro,Does it not allow chemists to determine the exact amounts of substances produced in a given reaction ?,NULL
Amedeo_Avogadro,Does it not allow chemists to determine the exact amounts of substances produced in a given reaction ?,NULL
Amedeo_Avogadro,Was King Victor Emmanuel III there to pay homage to Avogadro ?,yes
Amedeo_Avogadro,Was King Victor Emmanuel III there to pay homage to Avogadro ?,NULL
Amedeo_Avogadro,Was King Victor Emmanuel III there to pay homage to Avogadro ?,NULL
Amedeo_Avogadro,Can the title of this famous 1811 paper be roughly translated into english?,yes
Amedeo_Avogadro,Can the title of this famous 1811 paper be roughly translated into english?,NULL
Amedeo_Avogadro,Can the title of this famous 1811 paper be roughly translated into english?,
Amedeo_Avogadro,What happened in french?,NULL
Amedeo_Avogadro,What happened in french?,
Amedeo_Avogadro,What happened in 1833?,Avogadro had been recalled to Turin university
Amedeo_Avogadro,What happened in 1833?,NULL
Amedeo_Avogadro,What happened in 1833?,blah blah blah
Amedeo_Avogadro,Was Amedeo Avogadro Italian?,Yes
Amedeo_Avogadro,Was Amedeo Avogadro Italian?,yes
Amedeo_Avogadro,Did Amedeo Avogadro graduate?,Yes
Amedeo_Avogadro,Did Amedeo Avogadro graduate?,yes
Amedeo_Avogadro,Did Avogadro live in England?,No
Amedeo_Avogadro,Where was Avogadro a professor of physics?,University of Turin
Amedeo_Avogadro,Where was Avogadro a professor of physics?,University of Turin
Amedeo_Avogadro,How many children did Avogadro have?,six
Amedeo_Avogadro,How many children did Avogadro have?,six
Amedeo_Avogadro,What is Avogadro most noted for?,contributions to the theory of molarity and molecular weight
Amedeo_Avogadro,What is Avogadro most noted for?,contributions to the theory of molarity and molecular weight
Amedeo_Avogadro,What is Avogadro's number?,6.02214199x10 23
Amedeo_Avogadro,What is Avogadro's number?,6.02214199x10 23
Amedeo_Avogadro,In what year did Avogadro stop teaching at Turin University?,1853
Amedeo_Avogadro,In what year did Avogadro stop teaching at Turin University?,1823
Amedeo_Avogadro,What subject did Avogadro study first?,ecclesiastical law
Amedeo_Avogadro,What subject did Avogadro study first?,ecclesiastical law
Amedeo_Avogadro,What was Amedeo Avogadro`s birthplace?,Turin
Amedeo_Avogadro,What was Amedeo Avogadro`s profession?,professor of physics
Amedeo_Avogadro,How many years ago was it when he became a professor of physics at the University of Turin?,189
Amedeo_Avogadro,What is Amedeo Avogadro`s first name?,Amedeo
Amedeo_Avogadro,What is Amedeo Avogadro`s last name?,Avogadro
Amedeo_Avogadro,Was Amedeo Avogadro born in North America?,no
Amedeo_Avogadro,Was King Victor  Emmanuel  III there to pay  homage  to Avogadro?,Yes
Amedeo_Avogadro,"In fact, was Avogadro `s  famous  1811  paper written in French . )",Yes
Amedeo_Avogadro,Is avogadro `s  number commonly used to compute  the results  of chemical reactions?,Yes
Amedeo_Avogadro,"Hence, can relative molecular  masses be calculated from the masses  of gas samples?",Yes
Amedeo_Avogadro,Did he publish his work?,Yes
Amedeo_Avogadro,Did Avogadro submit his poem?,Yes.
Amedeo_Avogadro,Is it true that loschmidt calculated first the value of Avogadro number?,Yes
Amedeo_Avogadro,Loschmidt calculated first the value of what?,Avogadro's number
Amedeo_Avogadro,"Hence , can relative molecular masses be calculated from the masses of gas samples ?",yes
Amedeo_Avogadro,"Can the title of this famous 1811 paper be roughly translated into English as ""essay on determining the Relative Masses of the Elementary Molecules of Bodies"" ?",Yes.
Amedeo_Avogadro,What is Amedeo Avogadro?,A person.
Amedeo_Avogadro,Where is Amedeo Avogadro from?,Italy.
Amedeo_Avogadro,Was Avogadro a  professor at the University of Turin?,Yes
Amedeo_Avogadro,Was Avogadro a  professor at the University of Turin?,"Yes, Avogadro was a professor at the University of Turin."
Amedeo_Avogadro,Was he a member of the Royal Superior Council on Public Instruction?,Yes
Amedeo_Avogadro,Was he a member of the Royal Superior Council on Public Instruction?,"Yes,  Avogadro was a member of the Royal Superior Council on Public Instruction."
Amedeo_Avogadro,Is Avogadro's number used to compute the results of chemical reactions?,Yes
Amedeo_Avogadro,Is Avogadro's number used to compute the results of chemical reactions?,"Yes, Avagadro's number is used to compute the results of chemical reactions."
Amedeo_Avogadro,Who first calculated the value of Avogadro's number?,Johann Josef Loschmidt
Amedeo_Avogadro,Who first calculated the value of Avogadro's number?,Johann Josef Loschmidt first calculated the value of Avogadro's number.
Amedeo_Avogadro,What does Avogadro's Law state?,The relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights
Amedeo_Avogadro,What does Avogadro's Law state?,Avogadro's Law states that the relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights.
Amedeo_Avogadro,Who showed that Avogadro's theory held in dilute solutions?,Jacobus Henricus van Hoff
Amedeo_Avogadro,Who showed that Avogadro's theory held in dilute solutions?,Jacobus Henricus van 't Hoff showed that Avogadro's theory holds in dilute solutions.
Amedeo_Avogadro,In what language was his 1811 paper published?,French
Amedeo_Avogadro,In what language was his 1811 paper published?,Avogadro's 1811 paper was published in French.
Amedeo_Avogadro,Who was Avogadro's wife?,Felicita Mazz
Amedeo_Avogadro,Who was Avogadro's wife?,Felicita Mazzé was Avogadro's wife.
Amedeo_Avogadro,Why did Avogadro lose his chair at the University of Turin?,He was active in the revolutionary movements of 1821 against the king of Sardinia
Amedeo_Avogadro,Why did Avogadro lose his chair at the University of Turin?,Avogadro lost his chair at the University of Turin because he was active in the revolutionary movements of 1821 against the king of Sardinia.
Amedeo_Avogadro,Was Amedeo Avogadro was born in Turin?,Yes
Amedeo_Avogadro,Was Amedeo Avogadro was born in Turin?,yes
Amedeo_Avogadro,Is Avogadro hailed as a founder of the atomic-molecular theory?,Yes
Amedeo_Avogadro,Is Avogadro hailed as a founder of the atomic-molecular theory?,yes
Amedeo_Avogadro,Did Johann Josef Loschmidt first calculate the value of Avogadro's number?,Yes
Amedeo_Avogadro,Did Johann Josef Loschmidt first calculate the value of Avogadro's number?,yes
Amedeo_Avogadro,"In 1820, Avogadro became a professor of physics where?",University of Turin
Amedeo_Avogadro,"In 1820, Avogadro became a professor of physics where?",University of Turin
Amedeo_Avogadro,Avogadro did not actually use what word?,atom
Amedeo_Avogadro,Avogadro did not actually use what word?,atom
Amedeo_Avogadro,The number of elementary entities in 1 mole of a substance is known as what?,Avogadro constant
Amedeo_Avogadro,The number of elementary entities in 1 mole of a substance is known as what?,Avogadro's constant
Amedeo_Avogadro,What would a German call Avogadro's number?,Loschmidt number
Amedeo_Avogadro,What would a German call Avogadro's number?,Loschmidt number
Amedeo_Avogadro,Is Amedeo Avogadro Italian?,Yes
Amedeo_Avogadro,Is Amedeo Avogadro Italian?,yes
Amedeo_Avogadro,Did he become a professor before the revolutionary movements against the king of Sardinia?,Yes
Amedeo_Avogadro,Did he become a professor before the revolutionary movements against the king of Sardinia?,yes
Anders_Celsius,Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius
Anders_Celsius,What is named after him?,The Celsius crater on the Moon
Anders_Celsius,When did he publish a collection?,1733
Anders_Celsius,Is it true that he published a collection in 1738?,No
Anders_Celsius,Is it true that thermometer had 100 for the freezing point?,Yes
Anders_Celsius,Was Celsius born in Uppsala in Sweden?,Yes
Anders_Celsius,"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?",Yes
Anders_Celsius,Is The Celsius crater on the Moon named after him?,Yes
Anders_Celsius,Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Anders Celsius
Anders_Celsius,The Celsius crater on the Moon is what?,named after him
Anders_Celsius,Is the Celsius crater on the Moon named after him ?,Yes
Anders_Celsius,Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?,Yes it had
Anders_Celsius,Was Celsius born in Uppsala in Sweden ?,Yes
Anders_Celsius,Is the Celsius crater on the Moon named after him ?,Yes
Anders_Celsius,Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?,Yes he did
Anders_Celsius,What happened from 1730 to 1744?,He was professor of astronomy at Uppsala University
Anders_Celsius,What happened in 1745?,The scale was reversed
Anders_Celsius,When did Anders Celcius publish his observations on the aurora borealis?,1733
Anders_Celsius,When did Anders Celcius publish his observations on the aurora borealis?,1733
Anders_Celsius,What did Anders Celsius determine about the boiling of water?,He determined the dependence of the boiling of water with atmospheric pressure.
Anders_Celsius,What did Anders Celsius determine about the boiling of water?,dependence with atmospheric pressure
Anders_Celsius,Which temperature scale did Celsius propose?,Celcius
Anders_Celsius,Which temperature scale did Celsius propose?, the Celsius temperature scale 
Anders_Celsius,What is the boiling point of water dependent on?,atmospheric pressure
Anders_Celsius,What is the boiling point of water dependent on?,atmospheric pressure
Anders_Celsius,Where was Celsius born?,Uppsala in Sweden
Anders_Celsius,Where was Celsius born?,"Uppsala, Sweden"
Anders_Celsius,"Whad did Celsius report in his paper ""Observations of two persistent degrees on a thermometer""?",the freezing point is independent of latitude
Anders_Celsius,How old was Celsius when he died?,42
Anders_Celsius,How old was Celsius when he died?,42
Anders_Celsius,What is temperature would water have to be to be halfway between its standard boiling and freezing point?,50
Anders_Celsius,What is the difference between Celsius' original temperature scale and the one we use today?,The scale was reversed by Carolus Linnaeus. 
Anders_Celsius,What is the difference between Celsius' original temperature scale and the one we use today?,scale was reversed 
Anders_Celsius,What was Anders Celsius`s profession?,professor of astronomy
Anders_Celsius,How old was Anders Celsius when he died?,42
Anders_Celsius,What is Anders Celsius`s last name?,Celsius
Anders_Celsius,Was celsius born in Uppsala  in Sweden?,yes
Anders_Celsius,Is The Celsius  crater  on the Moon named after him?,yes
Anders_Celsius,"Was Anders Celsius  ( November 27 ,  1701  April 25 ,  1744  ) a Swedish  astronomer?",yes
Anders_Celsius,Was Anders Celsius the first  to perform  and  publish  careful experiments  aiming at the definition  of an international  temperature  scale  on scientific grounds?,yes
Anders_Celsius,Was he professor at Uppsala University?,yes
Anders_Celsius,Is it true that he published a collection of 316 observations?,yes
Anders_Celsius,He published a collection of what?,observations
Ant,Do ants belong to the Hymenoptera order?,yes
Ant,Do ants belong to the Hymenoptera order?,yes
Ant,Are ants used in cuisine?,yes
Ant,Are ants used in cuisine?,yes
Ant,Does an ant's head contain sensory organs?,yes
Ant,Does an ant's head contain sensory organs?,yes
Ant,How do most ants travel?,most ants travel by walking
Ant,How do most ants travel?,by walking
Ant,"In ant colonies, what are the fertile female ants called?",queens
Ant,"In ant colonies, what are the fertile female ants called?",queens
Ant,Who wrote about ants in A Tramp Abroad?,mark twain wrote about ants
Ant,Who wrote about ants in A Tramp Abroad?,Mark Twain
Ant,"Do the ants eat plants, meats, or both?",both
Ant,What organs gives a bull ant its good sight?,compound eyes
Ant,What may happen to red fire ants if we use boiling water on the queen?,nests of red fire ants may be destroyed
Ant,What may happen to red fire ants if we use boiling water on the queen?,die
Ant,Are ants found in Antartica?,"No, there are no ants in antarctica."
Ant,Are ants found in Antartica?,NULL
Ant,Do male ants take flight before females?,"Yes, male ants take flight before females."
Ant,Do male ants take flight before females?,NULL
Ant,Do worker ants have wings?,"No, worker ants do not have wings."
Ant,Do worker ants have wings?,NULL
Ant,What are the three segments of an ant?,"The head, mesosoma and metasoma are the three distinct body segments."
Ant,What are the three segments of an ant?,NULL
Ant,What are the ant colonies that lack queens called?,Colonies that lack queens are called gamergate colonies.
Ant,What are the ant colonies that lack queens called?,NULL
Ant,Where are bullet ants located?,Bullet ants are located in Central and South America.
Ant,Where are bullet ants located?,NULL
Ant,Do ants belong to the same order as bees?,"Yes, ants belong to the same order as bees."
Ant,Do ants belong to the same order as bees?,NULL
Ant,What is the most common color of ants?,Most ants are red or black.
Ant,What is the most common color of ants?,NULL
Ant,Do all ants build nests?,"No, not all ants build nests."
Ant,Do all ants build nests?,NULL
Ant,Ultraviolet vision was first discovered in ants by Sir who in 1881?,John Lubbok
Ant,Do ants thrive in most ecosystems?,Yes.
Ant,Are several species of ants able to use the Earths magnetic field?,yes
Ant,Are termites actually more closely related to cockroaches as well as mantids?,"Yes, termites are actually more closely related to cockroaches as well as mantids."
Ant,Do some caterpillars produce vibrations as well as sounds?,yes
Ant,Did ants evolve from wasp-like ancestors in the mid-Cretaceous period between 110 and 130 million years ago and diversified after the rise of flowering plants?,yes
Ant,Is the ant a marsupial?,no
Ant,Are they easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist?,"Yes, they are easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist."
Antwerp,Is Antwerp a city?,Yes
Antwerp,Is Antwerp a city?,NULL
Antwerp,Is Antwerp a municipality?,Yes
Antwerp,Is Antwerp a municipality?,NULL
Antwerp,Is Antwerp in Belgium?,Yes
Antwerp,Is Antwerp in Belgium?,NULL
Antwerp,What is Antwerp?,Antwerp is a city and municipality in Belgium.
Antwerp,What is Antwerp?,NULL
Antwerp,What is the population of the city of Antwerp?,"Antwerp's population is 472,071."
Antwerp,What is the population of the city of Antwerp?,NULL
Antwerp,Where is the city of Antwerp?,Antwerp is in Belgium
Antwerp,Where is the city of Antwerp?,NULL
Antwerp,Why is Antwerp important to fashion?,Yes
Antwerp,Why is Antwerp important to fashion?,NULL
